obs,country,country_map,code,region,continent,ims,gdp_pc,gov_ed,unem,timebuss,psa,cci,imp,mena,govexp,che,democracy,hief,refug,richoil,oilrents
2,Albania,Albania,ALB,Europe & Central Asia,Europe,1.98903641,12125.93148,3.437969923,17.07999992,5,0.3461291,-0.4790328,Maintain,0,11.11066552,4.89632177,9,13.9,109,0,1.352409002
4,American Samoa,American Samoa,ASM,East Asia & Pacific,Pacific,41.80200943,NA,NA,NA,NA,1.181357,1.218502,Maintain,0,NA,NA,NA,NA,NA,0,0
5,Andorra,Andorra,AND,Europe & Central Asia,Europe,59.7136492,NA,3.28034997,NA,NA,1.391288,1.218502,Maintain,0,NA,6.23245335,NA,NA,NA,NA,NA
7,Antigua and Barbuda,Antigua,ATG,Latin America & Caribbean,America,30.58550611,18595.0849,NA,NA,22,1.004725,0.6896325,Maintain,0,16.2285575,5.27965546,NA,NA,15,0,0
8,Argentina,Argentina,ARG,Latin America & Caribbean,America,4.805292335,23933.88661,5.776110172,7.75,24.5,0.0147854,-0.5470577,Maintain,0,18.09837976,10.22933769,9,15.8,3187,0,0.736965842
10,Aruba,Aruba,ABW,Latin America & Caribbean,America,34.76210186,37276.08042,5.975709915,NA,NA,1.230921,1.297111,NA,0,17.04936854,NA,NA,NA,NA,0,0
11,Australia,Australia,AUS,East Asia & Pacific,Pacific,28.21840969,48017.48845,5.311270237,6.053999901,2.5,0.8849798,1.882113,Maintain,0,18.0607423,9.32331181,10,27.6,36917,0,0.20670982
12,Austria,Austria,AUT,Europe & Central Asia,Europe,17.46572625,53116.03809,5.456580162,5.72300005,22,1.143079,1.519276,Raise,0,19.76169058,10.36746693,10,24.8,72198,0,0.032460639
14,"Bahamas, The",Bahamas,BHS,Latin America & Caribbean,America,15.28430309,35400.08185,NA,12,28.5,0.9074765,1.135789,Maintain,0,12.34245312,5.20896244,NA,NA,7,0,0
17,Barbados,Barbados,BRB,Latin America & Caribbean,America,12.12990166,15382.92743,NA,11.35000038,19,1.135361,1.490528,Lower,0,13.63574443,6.7748456,NA,NA,NA,0,0.09799543
18,Belarus,Belarus,BLR,Europe & Central Asia,Europe,11.40401056,18307.51967,4.787519932,5.914000034,9,0.1100165,-0.3350453,Raise,0,14.92176438,6.06533337,-7,30.9,1805,0,0.42067441
19,Belgium,Belgium,BEL,Europe & Central Asia,Europe,12.28353319,49631.72428,6.451570034,8.482000351,4.5,0.5870946,1.573307,Maintain,0,23.61508745,10.42703342,8,59.2,35302,0,0
20,Belize,Belize,BLZ,Latin America & Caribbean,America,14.99080123,7259.024205,6.88888979,7.578000069,43,0.0430976,-0.222516,Lower,0,15.59917044,5.81823015,NA,NA,34,0,0.664418576
22,Bermuda,Bermuda,BMU,North America,America,30.84639701,77842.7539,1.698600054,NA,NA,0.983049,1.218502,NA,0,12.50314635,NA,NA,NA,NA,NA,NA
24,Bolivia,Bolivia,BOL,Latin America & Caribbean,America,1.333267442,7984.413455,NA,3.065999985,49,-0.2684872,-0.6963719,Maintain,0,17.49525821,6.55064964,7,57.2,762,0,1.176927031
25,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Europe & Central Asia,Europe,0.91336484,12662.46,NA,27.69400024,82,-0.402437,-0.3939079,Maintain,0,21.9980801,9.33953667,NA,63.7,6789,0,0
27,Brazil,Brazil,BRA,Latin America & Caribbean,America,0.3433132,15059.23437,6.24105978,8.427000046,86,-0.3314581,-0.3964888,Raise,0,19.77683664,8.87090969,8,55.9,8703,0,1.071437119
28,British Virgin Islands,NA,VGB,Latin America & Caribbean,America,57.46920344,NA,5.134789944,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
30,Bulgaria,Bulgaria,BGR,Europe & Central Asia,Europe,1.428196392,19605.02281,NA,9.142999649,25,0.0173222,-0.2646455,Raise,0,16.12741084,7.41338348,9,28.9,16543,0,0.01043978
36,Canada,Canada,CAN,North America,America,21.80166365,47770.41561,NA,6.906000137,1.5,1.274698,1.886581,Maintain,0,20.87782513,10.68328094,10,73,135890,0,0.038191728
37,Cayman Islands,Cayman Islands,CYM,Latin America & Caribbean,America,39.56509414,67116.93437,NA,NA,NA,1.153418,1.019122,NA,0,NA,NA,NA,NA,10,0,0
40,Channel Islands,NA,CHI,Europe & Central Asia,Europe,50.28162647,NA,NA,8.083999634,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
41,Chile,Chile,CHL,Latin America & Caribbean,America,2.615513217,23633.66384,4.875309944,6.507999897,7.5,0.4334392,1.27997,Maintain,0,12.99389253,8.30269146,10,43.9,1840,0,0.015163399
43,Colombia,Colombia,COL,Latin America & Caribbean,America,0.276047227,14237.58381,4.470389843,8.298999786,12,-1.069147,-0.2981746,Maintain,0,14.81162979,7.52338552,7,63.9,212,0,2.712069872
47,Costa Rica,Costa Rica,CRI,Latin America & Caribbean,America,8.771009911,18024.49197,7.082540035,8.998999596,23,0.6820255,0.7484275,Maintain,0,17.47982898,7.82285929,10,39.8,3603,0,0
49,Croatia,Croatia,HRV,Europe & Central Asia,Europe,13.60471399,24446.6508,NA,16.17499924,22.5,0.590728,0.2452261,Maintain,0,20.12164551,6.78635979,9,17.1,518,0,0.191986556
50,Cuba,Cuba,CUB,Latin America & Caribbean,America,0.117089665,NA,NA,2.400000095,NA,0.6441017,0.0704845,Maintain,0,32.20593805,12.81401348,-7,51.7,300,NA,0.439099371
51,Curacao,Curacao,CUW,Latin America & Caribbean,America,23.92511593,26548.7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,46,0,0
52,Cyprus,Cyprus,CYP,Europe & Central Asia,Europe,16.83403415,34375.56372,6.346360207,14.90799999,8,0.5508665,1.007444,Maintain,0,16.35376149,6.92568588,10,34.7,7062,0,0
53,Czech Republic,Czech Republic,CZE,Europe & Central Asia,Europe,3.84222568,36306.91095,5.788849831,5.046000004,30.5,0.9791891,0.4337359,NA,0,18.91525406,7.24275684,9,26.2,3640,0,0.010419261
54,Denmark,Denmark,DNK,Europe & Central Asia,Europe,10.09899135,53045.73861,NA,6.168000221,3.5,0.8976498,2.211076,NA,0,25.46919943,10.22716618,10,17.7,27312,1,0.389160749
56,Dominica,Dominica,DMA,Latin America & Caribbean,America,9.246009906,11872.40739,3.408580065,NA,12,1.077941,0.6234236,Maintain,0,NA,5.1857729,NA,NA,NA,0,0
57,Dominican Republic,Dominican Republic,DOM,Latin America & Caribbean,America,3.947079853,15328.35206,NA,7.605000019,14.5,0.2367064,-0.8184461,Maintain,0,10.28874596,5.78464127,8,45.3,615,0,0
58,Ecuador,Ecuador,ECU,Latin America & Caribbean,America,2.400299101,11896.37663,4.998700142,3.615999937,50.5,-0.1439559,-0.6712533,Lower,0,14.42952263,8.58845711,5,52.8,121511,0,4.329274975
60,El Salvador,El Salvador,SLV,Latin America & Caribbean,America,0.686271613,8143.016917,3.909879923,3.997999907,16.5,-0.0169974,-0.4236757,NA,0,16.49739912,7.63034058,8,16.5,46,0,0
63,Estonia,Estonia,EST,Europe & Central Asia,Europe,15.41630922,31221.52396,5.106850147,6.186999798,3.5,0.6209198,1.293648,Maintain,0,19.98306725,6.34629202,9,45.8,158,1,0.282195208
66,Faroe Islands,Faroe Islands,FRO,Europe & Central Asia,Europe,11.44629557,NA,NA,NA,NA,NA,NA,NA,0,28.62615471,NA,NA,NA,NA,0,0
68,Finland,Finland,FIN,Europe & Central Asia,Europe,5.739683257,44973.7946,7.032080173,9.376000404,17,1.040587,2.275324,Raise,0,24.38441706,9.64523888,10,13.8,12692,0,0
69,France,France,FRA,Europe & Central Asia,Europe,12.08847938,43553.39928,NA,10.35900021,4,0.1067064,1.305666,Lower,0,23.80787761,11.46616745,9,NA,273117,0,0.005208218
74,Germany,Germany,DEU,Europe & Central Asia,Europe,14.8790513,51375.08598,4.834980011,4.624000072,10.5,0.6998243,1.837888,Raise,0,19.6917566,11.17801952,10,18.9,316098,0,0.010924469
76,Gibraltar,NA,GIB,Europe & Central Asia,Europe,34.34522147,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
77,Greece,Greece,GRC,Europe & Central Asia,Europe,11.34237737,28051.40002,NA,24.89699936,13,-0.2302524,-0.0766138,Lower,0,20.29702735,8.01678371,10,16.7,24831,0,0.004796238
78,Greenland,Greenland,GRL,Europe & Central Asia,America,10.69483501,NA,NA,NA,NA,1.943138,1.19055,NA,0,44.19881288,NA,NA,NA,NA,0,0
79,Grenada,Grenada,GRD,Latin America & Caribbean,America,6.606131524,15142.61521,NA,NA,15,0.7907085,0.5560133,NA,0,NA,4.64675617,NA,NA,NA,0,0
81,Guatemala,Guatemala,GTM,Latin America & Caribbean,America,0.467187672,8125.364862,3.030329943,2.506000042,26.5,-0.6550602,-0.7331991,NA,0,11.08810874,5.85707808,8,51.1,222,0,0.127778473
84,Guyana,Guyana,GUY,Latin America & Caribbean,America,2.005514382,11261.82838,5.214829922,12.00399971,18,-0.1396508,-0.6353234,Maintain,0,NA,5.36894894,7,69.5,12,0,0
85,Haiti,Haiti,HTI,Latin America & Caribbean,America,0.3690482,2941.815531,3.1572299,13.96500015,97,-0.6708382,-1.237522,Maintain,0,8.25363057,8.62852955,0,10.5,NA,0,0
86,Honduras,Honduras,HND,Latin America & Caribbean,America,0.347613516,5283.409956,6.412970066,6.146999836,41,-0.4689144,-0.5667076,Maintain,0,14.30524677,7.48378992,7,22.9,28,0,0
88,Hungary,Hungary,HUN,Europe & Central Asia,Europe,4.562465252,27841.81248,4.518660069,6.813000202,7,0.7462977,0.1486354,Raise,0,19.72962832,6.88948917,10,23.2,4383,0,0.076083132
89,Iceland,Iceland,ISL,Europe & Central Asia,Europe,11.3901495,51739.42676,7.512909889,3.979000092,12,1.308164,1.93911,Maintain,0,23.33316287,8.13130188,NA,NA,170,0,0
94,Ireland,Ireland,IRL,Europe & Central Asia,Europe,15.91693657,71243.42071,3.758290052,9.906000137,12,0.9084555,1.615371,Maintain,0,12.2501386,7.31716299,10,17.4,6108,0,0
95,Isle of Man,Isle of Man,IMN,Europe & Central Asia,Europe,51.51629073,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
97,Italy,Italy,ITA,Europe & Central Asia,Europe,9.680767742,40444.80765,4.073629856,11.89599991,11,0.3759197,0.0162641,Maintain,0,19.11034189,8.85689163,10,11,118036,0,0.045311862
98,Jamaica,Jamaica,JAM,Latin America & Caribbean,America,0.829367047,9470.797195,5.455770016,13.51099968,3,0.0964845,-0.2316051,Maintain,0,13.81720871,5.62562609,9,21,13,0,0
106,Kosovo,Kosovo,XKX,Europe & Central Asia,Europe,NA,9723.561903,NA,NA,10,-0.199357,-0.5355489,NA,0,15.39349061,NA,NA,NA,NA,0,0
110,Latvia,Latvia,LVA,Europe & Central Asia,Europe,13.35324026,26634.0248,5.314129829,9.873000145,5.5,0.4437472,0.4681761,Maintain,0,NA,NA,8,54.7,193,0,0
115,Liechtenstein,Liechtenstein,LIE,Europe & Central Asia,Europe,62.59625376,NA,NA,NA,NA,1.45784,2.064388,Maintain,0,NA,NA,NA,NA,146,NA,NA
116,Lithuania,Lithuania,LTU,Europe & Central Asia,Europe,4.726089623,30807.27513,4.22988987,9.119999886,5.5,0.759794,0.6176547,Raise,0,17.21267333,6.49459124,10,28.4,1094,0,0.031936642
117,Luxembourg,Luxembourg,LUX,Europe & Central Asia,Europe,43.96413394,110951.9888,3.918200016,6.669000149,16.5,1.439398,2.096687,Maintain,0,16.50436501,5.28378248,10,NA,1306,0,0
125,Marshall Islands,Marshall Islands,MHL,East Asia & Pacific,Pacific,6.197044893,3620.134513,NA,NA,17,0.9194738,-0.1151361,NA,0,54.36859018,17.35825539,NA,NA,NA,0,NA
128,Mexico,Mexico,MEX,Latin America & Caribbean,America,0.939364727,19361.47029,5.235239983,4.313000202,8.4,-0.7986991,-0.7659356,Maintain,0,12.3171959,5.79708719,8,58.7,2904,0,1.597485845
129,"Micronesia, Fed. Sts.",Micronesia,FSM,East Asia & Pacific,Pacific,2.638330461,3450.701332,12.40791988,NA,16,1.035154,0.6804457,Maintain,0,NA,12.49603271,NA,NA,5,0,0
130,Moldova,Moldova,MDA,Europe & Central Asia,Europe,3.512106598,10360.82959,NA,3.694000006,6,-0.3274402,-0.9112523,Maintain,0,14.50485745,8.55763531,9,42.7,434,0,0.013614209
131,Monaco,Monaco,MCO,Europe & Central Asia,Europe,55.76846625,NA,NA,NA,NA,0.9918019,NA,NA,0,NA,2.02833343,NA,NA,32,NA,NA
133,Montenegro,Montenegro,MNE,Europe & Central Asia,Europe,13.19007768,18212.37383,NA,17.54400063,12,0.1407977,-0.1318108,Maintain,0,19.19588717,NA,9,NA,1762,0,0
140,Netherlands,Netherlands,NLD,Europe & Central Asia,Europe,11.69568274,53223.44268,5.34815979,6.872000217,3.5,0.9261193,1.884297,Maintain,0,24.97855097,10.32396889,10,35.4,88518,0,0.027742591
141,New Caledonia,New Caledonia,NCL,East Asia & Pacific,Pacific,24.43390418,NA,NA,14.12699986,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
142,New Zealand,New Zealand,NZL,East Asia & Pacific,Pacific,22.95970035,40467.20455,6.337389946,5.364999771,0.5,1.525453,2.275631,Maintain,0,18.55873061,9.31466961,10,48.5,1313,0,0.198905964
143,Nicaragua,Nicaragua,NIC,Latin America & Caribbean,America,0.661982706,5630.397464,4.078430176,4.699999809,14,-0.0866075,-0.8882873,Maintain,0,14.05206107,7.96303225,9,54.4,325,0,0
146,North Macedonia,Macedonia ,MKD,Europe & Central Asia,Europe,6.289774173,14956.44216,NA,26.06800079,15,-0.2870161,-0.2560806,Maintain,0,16.97635226,6.34227896,9,NA,697,0,0
147,Northern Mariana Islands,Northern Mariana Islands,MNP,East Asia & Pacific,Pacific,39.30996913,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
148,Norway,Norway,NOR,Europe & Central Asia,Europe,14.23561116,61895.79561,7.569330215,4.296000004,4,1.161716,2.242804,Maintain,0,23.23902149,10.13146877,10,15.1,50377,1,3.142470375
152,Panama,Panama,PAN,Latin America & Caribbean,America,4.701027527,28436.35983,NA,3.002000093,6,0.3860773,-0.3707323,Maintain,0,10.28531179,6.8090291,9,61.2,17304,0,0
154,Paraguay,Paraguay,PRY,Latin America & Caribbean,America,2.356666686,11810.42797,NA,4.556000233,35,0.038498,-0.9470149,Maintain,0,11.56696159,6.74699259,9,17.9,167,0,0
155,Peru,Peru,PER,Latin America & Caribbean,America,0.289645141,12110.26888,3.969330072,3,41.5,-0.3975714,-0.5338408,Maintain,0,12.96557338,5.03110838,9,61.8,1454,0,0.255110712
157,Poland,Poland,POL,Europe & Central Asia,Europe,1.604180837,27885.4244,4.812260151,7.500999928,37,0.8748524,0.6695215,Raise,0,18.06844882,6.39785814,10,6.9,14057,0,0.029400671
158,Portugal,Portugal,PRT,Europe & Central Asia,Europe,8.089593589,31157.75914,4.885540009,12.44400024,6,0.9178401,0.964725,Raise,0,17.85068282,8.97663212,10,22,851,0,0
159,Puerto Rico,Puerto Rico,PRI,Latin America & Caribbean,America,7.465496392,34311.02963,NA,12,6,0.8551208,0.0861484,NA,0,8.803149682,NA,NA,NA,NA,0,0
161,Romania,Romania,ROU,Europe & Central Asia,Europe,1.163134803,23920.21544,3.106760025,6.811999798,8,0.1891144,-0.0176464,Raise,0,14.01625357,4.94264841,9,20.7,2581,0,0.339690919
165,San Marino,San Marino,SMR,Europe & Central Asia,Europe,14.84220132,57794.8503,NA,NA,12.5,0.9194738,NA,Raise,0,19.99053538,7.27498674,NA,NA,NA,NA,NA
169,Serbia,Serbia,SRB,Europe & Central Asia,Europe,9.122622084,15526.89835,3.789020061,17.65999985,11.5,0.238982,-0.2670502,Maintain,0,16.4115099,8.81929588,8,39.6,35326,0,0.12815794
173,Sint Maarten (Dutch part),NA,SXM,Latin America & Caribbean,Europe,70.44779972,41852.40413,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,5,NA,NA
174,Slovak Republic,Slovakia,SVK,Europe & Central Asia,Europe,3.265417899,29455.65865,4.599540234,11.48099995,26.5,0.8745452,0.1778616,Maintain,0,18.63273398,6.79333973,10,24.1,816,0,0.051236146
175,Slovenia,Slovenia,SVN,Europe & Central Asia,Europe,11.41296409,33956.84298,4.909530163,8.961999893,6,0.9533927,0.7729982,Maintain,0,18.82314255,8.49823952,10,25.8,284,0,8.73958E-05
176,Solomon Islands,Solomon Islands,SLB,East Asia & Pacific,Pacific,0.442947201,2520.669732,NA,0.66900003,9,0.6609848,-0.3408384,Maintain,0,NA,5.19329929,8,9.7,5,0,0
180,Spain,Spain,ESP,Europe & Central Asia,Europe,12.69023719,37420.78618,4.286570072,22.05699921,14,0.2514912,0.5839002,Maintain,0,19.47957943,9.12686825,10,66.9,6447,0,0.002952653
182,St. Kitts and Nevis,Saint Kitts,KNA,Latin America & Caribbean,America,13.39343554,25569.35702,2.643460035,NA,18.5,0.5823264,0.5045007,NA,0,NA,5.31862164,NA,NA,NA,0,0
183,St. Lucia,Saint Lucia,LCA,Latin America & Caribbean,America,6.903280558,14029.98253,3.867729902,24.09000015,11,0.8536908,0.6177639,Maintain,0,NA,4.60818338,NA,NA,NA,0,0
184,St. Martin (French part),Saint Martin,MAF,Latin America & Caribbean,Europe,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
185,St. Vincent and the Grenadines,Saint Vincent,VCT,Latin America & Caribbean,America,4.181359741,11971.99328,NA,19.31500053,10,1.004725,0.6747008,Maintain,0,NA,4.08409452,NA,NA,NA,0,0
187,Suriname,Suriname,SUR,Latin America & Caribbean,America,8.625811501,17382.75643,NA,7.21999979,84,0.2566883,-0.239112,Maintain,0,NA,6.21926689,5,NA,NA,0,2.803942404
188,Sweden,Sweden,SWE,Europe & Central Asia,Europe,16.76755875,51704.50304,7.443900108,7.43200016,7,0.9471064,2.241128,Raise,0,25.71819541,10.79714203,10,21.9,169516,0,0
189,Switzerland,Switzerland,CHE,Europe & Central Asia,Europe,29.38668554,66161.77652,5.100570202,4.801000118,10,1.339359,2.136473,Lower,0,11.9330699,11.36931515,10,36.7,73326,0,0
197,Trinidad and Tobago,Trinidad,TTO,Latin America & Caribbean,America,3.66763033,29182.57065,NA,2.210999966,11.5,0.2861143,-0.3007314,Maintain,0,NA,6.03951168,10,65.5,105,1,2.484104542
199,Turkey,Turkey,TUR,Europe & Central Asia,Europe,3.769001103,26165.39708,NA,10.23600006,11,-1.493914,-0.1543817,Maintain,0,13.80517246,4.11690378,3,52.1,2541348,0,0.044502889
201,Turks and Caicos Islands,Turks and Caicos Islands,TCA,Latin America & Caribbean,America,34.03710067,26691.61937,3.157449961,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,5,0,0
204,Ukraine,Ukraine,UKR,Europe & Central Asia,Europe,10.78646116,11237.07446,NA,9.140000343,8,-1.9618,-0.979916,Raise,0,18.92414752,7.77607775,4,37,3261,0,0.297611367
206,United Kingdom,UK,GBR,Europe & Central Asia,Europe,13.20097825,44849.73829,5.556159973,5.301000118,4.5,0.5177479,1.876371,Lower,0,19.49375449,9.90435219,10,39.9,123051,0,0.240220164
207,United States,USA,USA,North America,America,14.49065352,58509.58354,NA,5.28000021,5.6,0.6780624,1.396935,Maintain,0,14.30820461,16.71075249,10,52.7,273198,0,0.008301462
208,Uruguay,Uruguay,URY,Latin America & Caribbean,America,2.092316749,20588.39312,NA,7.487999916,6.5,1.004238,1.316853,Raise,0,13.83580999,9.00821114,10,17.6,292,0,0
211,"Venezuela, RB",Venezuela,VEN,Latin America & Caribbean,America,4.514736572,NA,NA,7.440000057,186,-0.9771809,-1.391322,Maintain,0,NA,5.79743814,4,52,173745,NA,NA
213,Virgin Islands (U.S.),Virgin Islands,VIR,Latin America & Caribbean,America,53.36387841,NA,NA,9.527000427,NA,1.249272,0.6324804,NA,0,NA,NA,NA,NA,NA,0,0
